model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori,100.0,0.9138205667172734,0.02806345382336917,0.8293807299775124,0.8941609145302103,0.9136738568570217,0.9324359657965096,0.9768933920552378,100.0,0.8149295973010264,0.05579861818004063,0.6653976861614044,0.7847170320425805,0.8174605982154755,0.8500791394181242,0.9246722811189664,100.0,0.7475493408040428,0.0957227390696179,0.4938271604938271,0.6839080459770115,0.7613871635610766,0.8277603622431209,0.9090909090909092
APriori,100.0,0.9003012348590224,0.027235336239025715,0.831275470914487,0.8832418597625166,0.9012701928651154,0.9176142106915638,0.9571094966268812,100.0,0.7434346831611782,0.07978709585386926,0.5001014238326088,0.7018885957557323,0.7548976358223958,0.8013590504324405,0.8826703549012663,100.0,0.5226202514307748,0.07133111965239225,0.3169811320754717,0.47643925841600254,0.5181206653804036,0.5757387462027064,0.7058823529411765
BalancedRandomForestClassifier,100.0,0.5158218339142845,0.055044775954054236,0.5,0.5,0.5,0.5,0.7782520325203253,100.0,0.2594697804138012,0.3784691650108384,0.0187475069804547,0.0187475069804547,0.0191463901076984,0.787672535328428,0.9480597360825908,100.0,0.03907282873470888,0.007875405257902014,0.0368050117462803,0.0368050117462803,0.0368194281237759,0.037573385518591,0.0793248945147679
DESKL,100.0,0.9130562785204073,0.027706195798355603,0.838799515654731,0.8946184382443251,0.9146903236605675,0.9356110423714881,0.9773000614330336,100.0,0.8584397339086982,0.04806016689629754,0.7172451073957263,0.8298788811729368,0.8630855617773936,0.896219430539986,0.9431828814615516,100.0,0.876563996193819,0.0351498006539588,0.735632183908046,0.8571428571428571,0.8837209302325582,0.9037351443123938,0.9347826086956522
DESP,100.0,0.9147477167098979,0.028157296147185044,0.8357507351669261,0.9051335519541761,0.917532641706973,0.9309347991369128,0.9736421034423112,100.0,0.8028840472521508,0.07132566318988422,0.5684000376721762,0.7708037558793083,0.8140790675104354,0.8463937186493699,0.9479759145298936,100.0,0.6754717972970334,0.0838894719665792,0.448087431693989,0.6237971014492754,0.6726554946825652,0.7302152104947269,0.9361702127659576
DecisionTreeClassifier,100.0,0.8712301793040177,0.034173228175196926,0.7919780314824425,0.8477488537758735,0.8715351985325293,0.8993163362407626,0.9394884618379724,100.0,0.4802030147010698,0.11072291813635163,0.2140889231083199,0.39801958844879864,0.4614994544039495,0.5416945414468821,0.7446511107929138,100.0,0.6709305823817214,0.08822262705769622,0.3592814371257485,0.6137521222410867,0.6600624634003514,0.7260659694288013,0.8571428571428571
Exponential,100.0,0.9166563555077883,0.02722363870231802,0.8383930115896904,0.9024979747648672,0.922888563937944,0.9341885054488844,0.9752667145440544,100.0,0.7674285297013238,0.07674217771072361,0.5871705331260845,0.71866561163213,0.7707736257292226,0.8265198452040928,0.9453391208767647,100.0,0.806249199157276,0.04861345463580497,0.6804123711340206,0.7777777777777778,0.8116009714178966,0.8385714285714285,0.9263157894736842
ExtraTreesClassifier,100.0,0.9073427571628082,0.02911296291982852,0.8289742259124719,0.8934136865876978,0.9061483326555511,0.925563995790258,0.9779100654997276,100.0,0.8658534573574959,0.043502609670458436,0.7432149165045726,0.8459095292093832,0.8662725961432245,0.89578996608926,0.9438525585599612,100.0,0.8787459955296653,0.036819647623011376,0.7560975609756098,0.8596345514950166,0.8837209302325582,0.8994320286455117,0.9565217391304348
KNOP,100.0,0.9131614098969159,0.02689769845858606,0.833108458744162,0.8975968313308331,0.9142468396597823,0.9331387303234735,0.9677433310548312,100.0,0.8469432314622939,0.052259939329066335,0.702647809934598,0.8191226366325228,0.8507056481541033,0.8802510829139442,0.9525562707702276,100.0,0.616325991685723,0.12873209778443115,0.3305084745762712,0.5097414762083177,0.629222309505106,0.7000659195781147,0.898876404494382
KNORAE,100.0,0.9004014228785396,0.030767260109063613,0.8186083722539352,0.8815098871492476,0.9042531006165884,0.9196514324279892,0.9703900709219858,100.0,0.6258099643564877,0.11729236196721866,0.3412344500200078,0.5328428726551061,0.6264236536264303,0.731220982519184,0.839023978624525,100.0,0.5278297050645664,0.08007742454042995,0.3714285714285714,0.4635761589403973,0.5294167912839137,0.5787118837275577,0.711864406779661
