model,balanced_accuracy,average_precision,f1
APosteriori,0.914 ± 0.028,0.815 ± 0.056,0.748 ± 0.096
APriori,0.900 ± 0.027,0.743 ± 0.080,0.523 ± 0.071
BalancedRandomForestClassifier,0.516 ± 0.055,0.259 ± 0.378,0.039 ± 0.008
DESKL,0.913 ± 0.028,0.858 ± 0.048,0.877 ± 0.035
DESP,0.915 ± 0.028,0.803 ± 0.071,0.675 ± 0.084
DecisionTreeClassifier,0.871 ± 0.034,0.480 ± 0.111,0.671 ± 0.088
Exponential,0.917 ± 0.027,0.767 ± 0.077,0.806 ± 0.049
ExtraTreesClassifier,0.907 ± 0.029,0.866 ± 0.044,0.879 ± 0.037
KNOP,0.913 ± 0.027,0.847 ± 0.052,0.616 ± 0.129
KNORAE,0.900 ± 0.031,0.626 ± 0.117,0.528 ± 0.080
KNORAU,0.914 ± 0.025,0.851 ± 0.048,0.544 ± 0.128
KNeighborsClassifier,0.915 ± 0.028,0.859 ± 0.048,0.893 ± 0.034
Logarithmic,0.917 ± 0.027,0.783 ± 0.071,0.835 ± 0.041
LogitBoostClassifier,0.872 ± 0.036,0.796 ± 0.096,0.835 ± 0.050
METADES,0.894 ± 0.033,0.556 ± 0.133,0.545 ± 0.126
MLA,0.878 ± 0.037,0.727 ± 0.092,0.784 ± 0.087
MLPClassifier,0.917 ± 0.029,0.897 ± 0.037,0.890 ± 0.035
RRC,0.917 ± 0.027,0.762 ± 0.077,0.808 ± 0.044
RUSBoostClassifier,0.920 ± 0.026,0.849 ± 0.052,0.702 ± 0.059
RandomForestClassifier,0.916 ± 0.028,0.859 ± 0.047,0.869 ± 0.039
StackingClassifier,0.935 ± 0.022,0.884 ± 0.038,0.747 ± 0.042
VotingClassifier,0.923 ± 0.026,0.884 ± 0.038,0.899 ± 0.031
XGBClassifier,0.922 ± 0.026,0.902 ± 0.034,0.899 ± 0.032
